name,team,pos,targets,receptions,yards,rec_touchdowns,avg_cushion,avg_separation,avg_intended_air_yards,avg_yac,avg_expected_yac,avg_yac_above_expectation,catch_percentage,percent_share_of_intended_air_yards,catch_pct,ypr,ypt,td_rate,yac_oe,name_last,receiving_broken_tackles,receiving_drop,receiving_drop_pct,receiving_int,receiving_epa,air_yards_total,s_sep,s_yac_oe,s_ypt,s_catch,s_air,s_cushion,s_drop,s_btk,composite,rank
Chris Godwin,TB,WR,51,33,360.0,2,6.597083333333334,2.817862940990965,7.82,6.502121212121213,4.30395807014725,2.1981631419739625,64.70588235294117,9.140664750615384,64.70588235294117,10.909090909090908,7.0588235294117645,3.9215686274509802,2.1981631419739625,GODWIN,,,,,,,32.76257434839999,61.107371107078436,35.92632312724543,54.77080464292739,25.977744815163472,65.57162193332604,50.0,50.0,45.55975046477192,44
CeeDee Lamb,DAL,WR,233,149,2150.0,6,6.038431465691499,2.800115421478298,12.065283259475567,4.614535409035409,3.930974044109012,0.6835613649263974,65.1449618757311,36.08982822752031,63.94849785407726,14.429530201342281,9.227467811158798,2.575107296137339,0.6835613649263974,LAMB,,,,,,,32.15968150321446,33.355197556080526,61.84330264748573,52.931804154047114,53.00967960321229,49.79777380218523,50.0,50.0,45.521485292446705,45
Juwan Johnson,NO,TE,175,128,1432.0,4,5.915992857142857,3.4508880082779556,7.59425125413802,4.332639718614719,4.494128523932255,-0.1614888053175358,70.28603259485612,18.45650027756986,73.14285714285714,11.1875,8.182857142857143,2.2857142857142856,-0.1614888053175358,JOHNSON,,,,,,,54.266778562291485,17.87127343866318,49.359395754655566,75.25656951743905,24.54028469680644,46.34065116731974,50.0,50.0,45.50406446619513,46
Jalen Nailor,MIN,WR,74,43,683.0,7,5.510259863945578,2.5852800151298534,14.742277987421383,3.725871264367817,2.21254603276487,1.5133252316029473,63.61006289308176,27.040186518069106,58.108108108108105,15.883720930232558,9.22972972972973,9.45945945945946,1.5133252316029473,NAILOR,,,,,,,24.86160645179341,48.55902946973577,61.87033432703443,38.750790924703956,70.05550257680608,34.884553036828486,50.0,50.0,45.32464619384056,47
Malik Washington,MIA,WR,103,72,467.0,4,6.612659090909091,4.053804865810427,4.287634615384615,6.037759057971015,5.219285981088439,0.8184730768825759,69.15865384615384,12.041377142033976,69.90291262135922,6.486111111111111,4.533980582524272,3.8834951456310676,0.8184730768825759,WASHINGTON,,,,,,,74.74819059221673,35.82719600544754,5.752493561434103,67.38968081306619,3.4853303192978093,66.01141216541558,50.0,50.0,45.14647575634499,48
Jordan Addison,MIN,WR,140,74,1046.0,5,7.3532495941558444,2.9348078208805455,13.474770095279194,4.0194801587301585,2.921537109798451,1.0979430489317075,53.060612910296456,40.951449992613576,52.85714285714286,14.135135135135135,7.4714285714285715,3.571428571428571,1.0979430489317075,ADDISON,,,,,,,36.735255224518326,40.947947403031876,40.85727308243261,26.000955566172962,61.98461811762456,86.92239949441351,50.0,50.0,45.11335563922268,49
Troy Franklin,DEN,WR,188,116,1342.0,12,6.84258037121468,2.987008239212942,14.034667735042737,4.332111645299146,3.7806700453937716,0.5514415999053738,63.21759259259259,36.30348521716987,61.702127659574465,11.568965517241379,7.138297872340425,6.382978723404255,0.5514415999053738,FRANKLIN,,,,,,,38.508531693144334,30.93435618117611,36.876103105180476,47.47740695936809,65.54977868783824,72.50336818977638,50.0,50.0,45.098786779564314,50
Mack Hollins,NE,WR,110,76,949.0,2,5.786229679051108,2.972779449770376,13.683541296005583,2.816948388050872,3.044158295362234,-0.22720990731136256,67.41147741147742,31.507063782064964,69.0909090909091,12.486842105263158,8.627272727272727,1.8181818181818181,-0.22720990731136256,HOLLINS,,,,,,,38.02517201324926,16.66706025462026,54.67050633960389,65.41806020066889,63.31397334287649,42.676715212225574,50.0,50.0,44.81606701703972,51
Sterling Shepard,TB,WR,86,64,605.0,2,5.5780808477237045,3.446687518486572,8.394824669490438,4.068719256933543,3.9133665149370493,0.15535274199649368,74.79784366576818,16.54749292310507,74.4186046511628,9.453125,7.034883720930233,2.3255813953488373,0.15535274199649368,SHEPARD,,,,,,,54.124085650209175,23.676787298792192,35.640223866358575,78.35420393559927,29.637953576391517,36.79951646966643,50.0,50.0,44.60895732362277,52
Deebo Samuel Sr.,WAS,WR,88,65,613.0,5,6.254498001998002,3.441488989968896,5.14328638028638,5.910787545787546,5.563428074924918,0.3473594708626273,73.01198801198801,15.004850028882489,73.86363636363636,9.430769230769231,6.965909090909091,5.681818181818182,0.3473594708626273,SR.,,,,,,,53.947488822322164,27.194942462217035,34.81592359327091,77.00668896321068,8.933711804438262,55.8985333759552,50.0,50.0,44.362049138838216,53
